run_id,experiment,variant,valid_trials,ops_per_second_min,ops_per_second_median,ops_per_second_max,p99_us_median,p99_us_max,total_errors,total_connection_errors
matrix-20260905T214247Z-6143f5a796760b818e30f907a3f2dd87373b7d3c,connections,1,3,25104.2,25478.1,25606.1,193.916,206.958,0,0
matrix-20260905T214247Z-6143f5a796760b818e30f907a3f2dd87373b7d3c,connections,10,3,77447.3,77509.1,77800.2,669.292,680.292,0,0
matrix-20260905T214247Z-6143f5a796760b818e30f907a3f2dd87373b7d3c,durability,always,3,58075.2,58254.3,60542.2,892.042,905.458,0,0
matrix-20260905T214247Z-6143f5a796760b818e30f907a3f2dd87373b7d3c,durability,none,3,76491.2,76582.6,77746.8,677.375,698.667,0,0
matrix-20260905T214247Z-6143f5a796760b818e30f907a3f2dd87373b7d3c,durability,periodic,3,76821.8,77337.3,77587.3,675.792,685.709,0,0
matrix-20260905T214247Z-6143f5a796760b818e30f907a3f2dd87373b7d3c,read-ratio,0.0,3,80348.8,81093.8,81358.0,881.291,920.334,0,0
matrix-20260905T214247Z-6143f5a796760b818e30f907a3f2dd87373b7d3c,read-ratio,0.8,3,75830.5,75948.8,76723.2,695.416,696.875,0,0
matrix-20260905T214247Z-6143f5a796760b818e30f907a3f2dd87373b7d3c,read-ratio,1.0,3,63693.5,64314.5,65782.1,763.792,788.0,0,0
matrix-20260905T214247Z-6143f5a796760b818e30f907a3f2dd87373b7d3c,shards,1,3,76149.3,76419.4,76669.4,668.625,687.125,0,0
matrix-20260905T214247Z-6143f5a796760b818e30f907a3f2dd87373b7d3c,shards,16,3,77952.7,78120.2,78308.9,687.75,701.209,0,0
matrix-20260905T214247Z-6143f5a796760b818e30f907a3f2dd87373b7d3c,value-size,1024,3,67897.8,71429.0,71558.6,739.167,779.916,0,0
matrix-20260905T214247Z-6143f5a796760b818e30f907a3f2dd87373b7d3c,value-size,16,3,77930.3,77986.8,78121.1,677.166,693.792,0,0
matrix-20260905T214247Z-6143f5a796760b818e30f907a3f2dd87373b7d3c,workers,1,3,47454.8,48752.1,49072.0,964.0,1624.62,0,0
matrix-20260905T214247Z-6143f5a796760b818e30f907a3f2dd87373b7d3c,workers,4,3,75822.7,76770.0,76959.7,677.125,689.542,0,0
