% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 51.90   51.759212         706     73264      2442 futex
 30.22   30.133110        5302      5683           recvfrom
  5.50    5.481274       23935       229           clock_nanosleep
  5.46    5.448399       41275       132           ppoll
  1.67    1.663175         105     15700           openat
  1.60    1.591748          95     16692           sendto
  1.23    1.226045          78     15717           close
  1.17    1.164911          74     15700           lseek
  1.13    1.131042          72     15700           read
  0.06    0.060012        3750        16           set_robust_list
  0.01    0.013897       13897         1           restart_syscall
  0.01    0.013570         208        65           rt_sigprocmask
  0.01    0.010650          10       992           write
  0.01    0.007568         630        12           mprotect
  0.01    0.005883         346        17           madvise
  0.00    0.004720         295        16           clone3
  0.00    0.002605          81        32           setsockopt
  0.00    0.002351         195        12           mmap
  0.00    0.001463          91        16           rseq
  0.00    0.001405          87        16           accept
  0.00    0.000215          17        12           munmap
------ ----------- ----------- --------- --------- ----------------
100.00   99.723255         623    160024      2442 total
