% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 79.35  122.384174        1735     70537       497 futex
  5.28    8.140924      125244        65           ppoll
  5.22    8.058622       63453       127           clock_nanosleep
  3.19    4.913415         214     22944           sendto
  1.99    3.075114         134     22944           openat
  1.42    2.192710         381      5750           recvfrom
  1.41    2.170554          94     22944           lseek
  1.16    1.789903          78     22944           read
  0.94    1.443335          62     22960           close
  0.05    0.071218       71218         1           restart_syscall
  0.00    0.000267          16        16           madvise
  0.00    0.000257          16        16           rt_sigprocmask
  0.00    0.000188          15        12           munmap
------ ----------- ----------- --------- --------- ----------------
100.00  154.240681         806    191260       497 total
